conjunto,perturbacao,bin_acuracia,mul_f1_macro,reg_mae_espiras,fora_dominio_fracao
indicadores_sem_filtro,nenhuma,0.9918,1.0,6.6961,0.0245
indicadores_sem_filtro,ruido,0.5396,0.3774,36.7315,0.9548
indicadores_sem_filtro,desfoque,0.9878,0.9948,8.7775,0.0857
indicadores_sem_filtro,translacao,0.9566,0.9951,18.678,0.0735
indicadores_sem_filtro,rotacao,0.9878,1.0,5.9649,0.0286
indicadores,nenhuma,0.9918,1.0,5.2761,0.0367
indicadores,ruido,0.7914,0.6569,24.7983,0.4509
indicadores,desfoque,0.9959,0.9948,9.8371,0.0531
indicadores,translacao,0.9806,1.0,6.2689,0.0612
indicadores,rotacao,0.9918,1.0,5.4993,0.0367
mobilenet,nenhuma,1.0,0.9796,8.0619,0.0367
mobilenet,ruido,0.9449,0.6833,36.7118,1.0
mobilenet,desfoque,0.9257,0.5844,24.8316,0.9385
mobilenet,translacao,1.0,0.9913,14.4564,0.1957
mobilenet,rotacao,1.0,0.9726,12.4683,0.0852
hibrido_mb_sem_filtro,nenhuma,1.0,0.9796,6.8794,0.0408
hibrido_mb_sem_filtro,ruido,0.9017,0.7257,57.8901,1.0
hibrido_mb_sem_filtro,desfoque,0.9339,0.6348,20.4442,0.931
hibrido_mb_sem_filtro,translacao,1.0,0.9958,13.6975,0.1855
hibrido_mb_sem_filtro,rotacao,1.0,0.9796,9.7435,0.0893
hibrido_mb,nenhuma,1.0,0.9796,6.9081,0.0408
hibrido_mb,ruido,0.917,0.6976,34.018,1.0
hibrido_mb,desfoque,0.9377,0.6247,20.0849,0.931
hibrido_mb,translacao,1.0,0.9958,13.8555,0.185
hibrido_mb,rotacao,1.0,0.9796,9.8485,0.0893
